mountain_unit,year,lamb_ewe_ratio,surveys,elevation,snow_line_elevation,snow_disappearance,snow_cover_duration,temp,precip,may_temp,winter_precip,latitude,longitude,distance,sheep_density
Chugatch  Mtns,2001,0.261,2,1153.364,584.273,141.286,0.794,-1.662,499.138,1.012,511.249,61,-147,447.651,-9999
Chugatch  Mtns,2002,0.43,5,1153.364,444.64,148.469,0.711,-3.189,240.906,3.345,241.261,61,-147,447.651,-9999
Chugatch  Mtns,2003,0.314,5,1153.364,831.245,139.046,0.684,-0.61,437.307,2.552,401.271,61,-147,447.651,-9999
Chugatch  Mtns,2004,0.326,28,1153.364,594.153,152.912,0.688,-2.153,502.715,4.956,611.516,61,-147,447.651,-9999
Chugatch  Mtns,2006,0.336,8,1153.364,319.82,150.811,0.722,-2.665,413.687,3.636,346.692,61,-147,447.651,-9999
Chugatch  Mtns,2007,0.33,27,1153.364,560.965,149.109,0.72,-3.35,450.123,3.307,380.881,61,-147,447.651,-9999
Chugatch  Mtns,2008,0.44,6,1153.364,651.938,149.961,0.733,-2.649,480.148,2.59,488.518,61,-147,447.651,-9999
Chugatch  Mtns,2009,0.269,39,1153.364,978.02,133.028,0.732,-3.69,397.891,3.506,444.222,61,-147,447.651,-9999
Chugatch  Mtns,2010,0.415,35,1153.364,728.505,143.381,0.708,-2.121,399.116,4.003,411.795,61,-147,447.651,-9999
Chugatch  Mtns,2011,0.438,4,1153.364,770.34,137.499,0.706,-3.074,415.764,3.422,471.75,61,-147,447.651,-9999
Chugatch  Mtns,2012,0.22,10,1153.364,454.798,150.883,0.749,-3.631,529.976,1.732,621.939,61,-147,447.651,-9999
Chugatch  Mtns,2013,0.306,30,1153.364,625.583,153.764,0.732,-3.069,588.343,1.35,657.518,61,-147,447.651,-9999
Chugatch  Mtns,2014,0.26,37,1153.364,837.21,135.788,0.693,-1.646,619.415,5.004,608.184,61,-147,447.651,-9999
Chugatch  Mtns,2015,0.442,2,1153.364,801.765,138.196,0.675,-0.884,400.982,5.491,395.11,61,-147,447.651,-9999
Coast Mtns,2002,0.304,1,1237.293,1166.285,137.43,0.563,-1.95,81.274,4.067,71.768,60,-136,586.776,0.388
Coast Mtns,2004,0.159,1,1237.293,1275.42,134.28,0.526,-0.741,99.639,6.121,97.628,60,-136,586.776,0.307
Coast Mtns,2009,0.431,1,1237.293,1176.658,136.141,0.592,-2.311,119.892,4.453,131.108,60,-136,586.776,0.398
Coast Mtns,2014,0.289,1,1237.293,1344.395,130.152,0.536,-0.968,100.151,6.467,85.533,60,-136,586.776,0.258
Eastern Brooks North,2000,0.091,1,970.63,1106.065,154.246,0.606,-9.848,64.726,-4.689,62.651,69,-144,494.8,-9999
Eastern Brooks North,2003,0.256,2,970.63,0,151.565,0.584,-7.974,102.341,-1.585,61.552,69,-144,494.8,0.565
Eastern Brooks North,2004,0.353,1,970.63,0,147.421,0.537,-9.556,78.447,-0.6,61.508,69,-144,494.8,-9999
Eastern Brooks North,2005,0.356,1,970.63,1254.84,140.634,0.55,-8.716,69.31,0.799,61.167,69,-144,494.8,-9999
Eastern Brooks North,2006,0.25,1,970.63,614.683,145.293,0.545,-9.04,68.028,1.139,63.222,69,-144,494.8,-9999
Eastern Brooks North,2007,0.154,1,970.63,805.9,144.971,0.495,-8.878,63.214,-1.123,60.419,69,-144,494.8,-9999
Eastern Brooks North,2008,0.28,1,970.63,537.038,145.106,0.483,-8.356,73.796,0.344,64.969,69,-144,494.8,-9999
Eastern Brooks North,2009,0.102,1,970.63,874.563,137.046,0.569,-9.652,62.738,-0.023,66.816,69,-144,494.8,-9999
Eastern Brooks South,2006,0.221,1,819.918,471.893,141.726,0.549,-6.848,120.168,4.587,92.935,68,-145,385.531,-9999
Eastern Brooks South,2007,0.258,1,819.918,521.508,138.978,0.507,-6.78,145.405,2.959,85.737,68,-145,385.531,-9999
Eastern Brooks South,2012,0.54,2,819.918,396.54,143.796,0.52,-7.526,172.634,2.533,99.408,68,-145,385.531,-9999
Kenai Mtns,2000,0.181,15,521.438,307.234,129.144,0.51,2.016,121.491,6.479,122.727,60,-150,638.991,-9999
Kenai Mtns,2001,0.239,10,521.438,240.279,119.46,0.597,3.634,125.712,5.234,146.743,60,-150,638.991,-9999
Kenai Mtns,2002,0.213,11,521.438,343.947,132.235,0.58,1.934,66.104,8.192,71.719,60,-150,638.991,-9999
Kenai Mtns,2003,0.294,2,521.438,560.46,113.897,0.437,4.606,115.278,7.229,107.96,60,-150,638.991,-9999
Kenai Mtns,2004,0.258,12,521.438,445.905,136.736,0.537,3.016,114.204,9.477,135.607,60,-150,638.991,-9999
Kenai Mtns,2005,0.36,4,521.438,538.428,119.365,0.512,4.067,121.676,9.719,130.387,60,-150,638.991,-9999
Kenai Mtns,2006,0.281,13,521.438,330.218,129.536,0.565,2.237,104.814,7.977,92.579,60,-150,638.991,-9999
Kenai Mtns,2007,0.371,11,521.438,380.031,130.078,0.554,1.556,105.569,7.425,95.998,60,-150,638.991,-9999
Kenai Mtns,2008,0.138,9,521.438,271.424,130.205,0.583,2.267,126.212,6.762,137.657,60,-150,638.991,-9999
Kenai Mtns,2009,0.247,7,521.438,557.895,118.732,0.592,1.366,91.842,7.81,96.122,60,-150,638.991,-9999
Kenai Mtns,2010,0.216,3,521.438,328.221,121.897,0.557,2.523,105.971,7.71,115.09,60,-150,638.991,-9999
Kenai Mtns,2011,0.406,15,521.438,438.004,122.338,0.557,1.809,93.344,7.338,107.136,60,-150,638.991,-9999
Kenai Mtns,2012,0.238,8,521.438,286.263,131.046,0.613,0.977,138.09,5.984,159.666,60,-150,638.991,-9999
Kenai Mtns,2013,0.145,12,521.438,313.686,136.337,0.605,2.329,145.042,5.85,156.078,60,-150,638.991,-9999
Kenai Mtns,2014,0.114,12,521.438,631.677,111.319,0.473,3.745,141.863,9.634,136.802,60,-150,638.991,-9999
Kenai Mtns,2015,0.263,16,521.438,586.854,111.408,0.417,4.563,102.324,9.622,104.942,60,-150,638.991,-9999
Kluane Mtns,2000,0.102,2,1352.705,1280.475,137.815,0.441,-2.901,46.422,2.131,27.66,62,-140,361.478,2.974
Kluane Mtns,2001,0.173,5,1352.705,1230.08,134.269,0.651,-2.727,50.035,1.691,26.35,62,-140,361.478,1.022
Kluane Mtns,2002,0.275,4,1352.705,1466.53,134.54,0.528,-3.982,30.743,3.223,16.419,62,-140,361.478,0.845
Kluane Mtns,2003,0.293,1,1352.705,1669.18,124.4,0.464,-1.68,36.229,2.742,18.944,62,-140,361.478,3.351
Kluane Mtns,2004,0.417,1,1352.705,1645.79,131.995,0.497,-3.024,36.173,5.102,27.603,62,-140,361.478,1.807
Kluane Mtns,2005,0.285,4,1352.705,1852.81,123.183,0.549,-2.281,43.949,6.293,30.954,62,-140,361.478,1.525
Kluane Mtns,2006,0.233,2,1352.705,1341.11,135.334,0.523,-3.078,44.071,3.775,24.702,62,-140,361.478,3.023
Kluane Mtns,2007,0.167,2,1352.705,1425.995,133.466,0.552,-4.097,40.598,3.866,23.391,62,-140,361.478,1.77
Kluane Mtns,2008,0.202,1,1352.705,1552.765,128.887,0.554,-3.498,45.226,3.639,23.621,62,-140,361.478,0.724
Kluane Mtns,2009,0.216,1,1352.705,1465.495,132.728,0.587,-4.534,38.602,3.765,29.423,62,-140,361.478,3.579
Kluane Mtns,2010,0.179,1,1352.705,1677.665,127.065,0.53,-2.258,41.515,4.927,20.373,62,-140,361.478,1.57
Kluane Mtns,2011,0.253,3,1352.705,1288.665,135.576,0.588,-3.582,37.813,4.627,25.289,62,-140,361.478,1.77
Kluane Mtns,2012,0.192,2,1352.705,1217.22,138.962,0.561,-3.708,44.643,2.425,29.231,62,-140,361.478,1.284
Kluane Mtns,2013,0.371,2,1352.705,972.47,143.237,0.595,-4.269,36.552,2.478,25.667,62,-140,361.478,2.216
Kluane Mtns,2014,0.335,1,1352.705,1666.715,124.603,0.517,-2.932,46.402,5.263,27.864,62,-140,361.478,2.185
Kluane Mtns,2015,0.394,4,1352.705,1922.125,120.758,0.524,-1.908,44.159,6.152,24.964,62,-140,361.478,1.696
Mackenzie Mtns,2011,0.555,2,1158.613,1219.845,132.498,0.588,-3.205,174.932,5.566,122.305,61,-127,851.445,-9999
North Wrangell Mtns,2000,0.146,2,1852.819,1214.835,141.471,0.646,-5.854,200.668,-1.977,156.588,62,-142,325.533,0.22
North Wrangell Mtns,2001,0.141,5,1852.819,1123.485,136.613,0.791,-5.445,224.48,-2.445,143.61,62,-142,325.533,0.229
North Wrangell Mtns,2002,0.29,4,1852.819,1286.13,143.257,0.696,-6.746,122.708,-0.627,81.677,62,-142,325.533,0.185
North Wrangell Mtns,2003,0.281,1,1852.819,1398.31,136.929,0.694,-4.345,160.536,-1.238,104.621,62,-142,325.533,-9999
North Wrangell Mtns,2004,0.265,2,1852.819,1411.375,146.156,0.661,-5.806,165.754,1.131,147.814,62,-142,325.533,-9999
North Wrangell Mtns,2005,0.292,2,1852.819,1626.56,130.053,0.708,-4.994,193.095,2.206,164.728,62,-142,325.533,-9999
North Wrangell Mtns,2006,0.358,3,1852.819,1190.04,142.59,0.688,-5.958,185.686,-0.144,118.778,62,-142,325.533,-9999
North Wrangell Mtns,2007,0.343,2,1852.819,1472.99,133.763,0.687,-6.884,180.267,-0.166,115.132,62,-142,325.533,-9999
North Wrangell Mtns,2008,0.389,1,1852.819,1356.475,138.768,0.713,-6.236,190.791,-0.556,125.738,62,-142,325.533,-9999
North Wrangell Mtns,2009,0.247,1,1852.819,1402.51,134.903,0.73,-7.322,165.85,-0.175,146.734,62,-142,325.533,-9999
North Wrangell Mtns,2011,0.36,2,1852.819,1355.51,134.337,0.703,-6.439,168.639,0.454,145.708,62,-142,325.533,-9999
North Wrangell Mtns,2013,0.189,5,1852.819,731.55,152.962,0.73,-7.037,171.79,-1.886,154.585,62,-142,325.533,-9999
North Wrangell Mtns,2014,0.186,1,1852.819,1541.53,130.622,0.688,-5.608,214.78,1.199,156.157,62,-142,325.533,-9999
North Wrangell Mtns,2015,0.394,3,1852.819,1705.385,130.985,0.68,-4.689,186.976,2.164,133.833,62,-142,325.533,-9999
Ogilvie Mountains,2015,0.5,1,993.037,918.695,136.178,0.538,-4.163,157.861,7.415,84.452,65,-139,142.923,-9999
Richardson Mtns,2001,0.149,14,702.591,0,156.508,0.695,-5.645,36.731,0.589,26.841,67,-136,385.215,-9999
Richardson Mtns,2002,0.196,2,702.591,NA,109.009,0.508,-6.059,33.729,3.198,22.834,67,-136,385.215,-9999
Richardson Mtns,2003,0.303,18,702.591,0,147.892,0.541,-4.311,43.777,2.478,22.124,67,-136,385.215,-9999
Richardson Mtns,2006,0.291,15,702.591,0,151.335,0.604,-5.221,35.228,4.75,19.696,67,-136,385.215,-9999
Ruby Range,2001,0.179,4,1202.01,1519.875,125.189,0.575,-2.282,54.552,2.615,28.72,62,-138,397.403,-9999
Ruby Range,2004,0.285,3,1202.01,1554.49,128.44,0.482,-2.534,39.855,5.896,30.998,62,-138,397.403,-9999
Ruby Range,2007,0.191,4,1202.01,1234.61,134.059,0.543,-3.586,44.655,4.73,28.635,62,-138,397.403,-9999
Ruby Range,2011,0.206,7,1202.01,1201.34,134.794,0.575,-3.085,43.435,5.551,26.542,62,-138,397.403,-9999
Ruby Range,2014,0.262,5,1202.01,1677.805,119.466,0.501,-2.502,46.98,6.119,28.685,62,-138,397.403,-9999
Ruby Range,2015,0.336,3,1202.01,1799.63,116.559,0.5,-1.386,51.643,7.012,28.384,62,-138,397.403,-9999
South Wrangell Mtns,2000,0.18,3,1579.267,689.455,146.993,0.734,-4.695,704.814,-0.265,738.344,61,-142,405.907,0.682
South Wrangell Mtns,2001,0.164,4,1579.267,714.645,136.619,0.83,-4.145,723.496,-0.829,682.387,61,-142,405.907,0.374
South Wrangell Mtns,2002,0.323,6,1579.267,667.92,145.958,0.747,-5.509,396.519,0.972,378.033,61,-142,405.907,0.304
South Wrangell Mtns,2003,0.259,4,1579.267,940.72,137.787,0.729,-3.125,544.396,0.38,480.923,61,-142,405.907,-9999
South Wrangell Mtns,2004,0.265,2,1579.267,714.955,152.736,0.722,-4.511,609.753,2.684,695.841,61,-142,405.907,-9999
South Wrangell Mtns,2005,0.348,3,1579.267,998.215,135.686,0.745,-3.688,675.888,3.641,735.07,61,-142,405.907,-9999
South Wrangell Mtns,2006,0.338,2,1579.267,608.458,146.985,0.756,-4.725,650.596,1.406,562.455,61,-142,405.907,-9999
South Wrangell Mtns,2007,0.284,3,1579.267,814.098,142.968,0.746,-5.672,589.152,1.255,515.021,61,-142,405.907,-9999
South Wrangell Mtns,2008,0.356,1,1579.267,789.868,142.376,0.753,-5.02,626.29,0.879,579.117,61,-142,405.907,-9999
South Wrangell Mtns,2009,0.175,1,1579.267,947.063,136.166,0.771,-6.034,583.675,1.284,627.574,61,-142,405.907,-9999
South Wrangell Mtns,2010,0.538,1,1579.267,931.135,137.163,0.74,-4.003,557.311,2.233,500.944,61,-142,405.907,-9999
South Wrangell Mtns,2011,0.267,1,1579.267,942.405,135.479,0.739,-5.144,561.571,1.884,629.098,61,-142,405.907,-9999
South Wrangell Mtns,2013,0.132,4,1579.267,525.455,152.834,0.766,-5.622,642.778,-0.253,672.722,61,-142,405.907,-9999
South Wrangell Mtns,2014,0.304,2,1579.267,890.788,135.58,0.731,-4.296,725.153,2.83,707.421,61,-142,405.907,-9999
South Wrangell Mtns,2015,0.382,1,1579.267,1008.15,135.757,0.729,-3.373,641.78,3.541,607.852,61,-142,405.907,-9999
Talkeetna  Mountains,2000,0.091,3,1354.112,326.585,169.015,0.676,-4.101,100.092,1.138,73.206,62,-148,407.73,-9999
Talkeetna  Mountains,2002,0.401,1,1354.112,560.313,150.447,0.586,-4.471,60.675,3.211,35.765,62,-148,407.73,-9999
Talkeetna  Mountains,2003,0.28,6,1354.112,885.628,156.137,0.642,-1.88,94.364,2.143,53.083,62,-148,407.73,-9999
Talkeetna  Mountains,2006,0.537,1,1354.112,558.043,153.08,0.628,-4.117,89.919,3.379,45.982,62,-148,407.73,-9999
Talkeetna  Mountains,2007,0.351,5,1354.112,887.735,153.368,0.621,-4.585,95.168,3.229,46.307,62,-148,407.73,-9999
Talkeetna  Mountains,2008,0.443,4,1354.112,561.87,158.632,0.635,-3.89,97.119,2.308,60.179,62,-148,407.73,-9999
Talkeetna  Mountains,2009,0.346,4,1354.112,1128.464,138.098,0.631,-5.012,78.411,3.346,67.786,62,-148,407.73,-9999
Talkeetna  Mountains,2011,0.394,6,1354.112,890.188,145.253,0.583,-4.388,80.945,3.204,60.787,62,-148,407.73,-9999
Talkeetna  Mountains,2013,0.225,8,1354.112,29.64,160.381,0.646,-4.415,103.627,0.687,82.419,62,-148,407.73,-9999
Talkeetna  Mountains,2015,0.466,7,1354.112,1034.685,142.559,0.572,-2.141,78.875,5.403,45.798,62,-148,407.73,-9999
Tanana Uplands,2000,0.214,4,818.559,813.828,136.575,0.462,-2.881,202.383,4.501,107.221,64,-143,79.666,0.301
Tanana Uplands,2001,0.371,10,818.559,811.628,134.848,0.607,-2.37,250.562,4.125,99.369,64,-143,79.666,0.184
Tanana Uplands,2002,0.424,8,818.559,919.3,130.049,0.47,-3.459,176.013,6.638,77.917,64,-143,79.666,0.174
Tanana Uplands,2009,0.324,7,818.559,1431.123,121.998,0.509,-4.141,174.946,7.252,114.678,64,-143,79.666,-9999
Tanana Uplands,2010,0.212,1,818.559,1436.583,115.651,0.454,-1.973,207.723,8.353,89.356,64,-143,79.666,-9999
Tanana Uplands,2011,0.322,1,818.559,1207.73,124.333,0.465,-3.417,202.345,7.666,124.756,64,-143,79.666,-9999
Tanana Uplands,2012,0.085,1,818.559,1030.173,124.114,0.457,-3.577,192.539,5.614,120.969,64,-143,79.666,-9999
Tanana Uplands,2013,0.07,1,818.559,502.558,142.938,0.555,-4.183,155.941,4.281,127.831,64,-143,79.666,-9999
Tanana Uplands,2015,0.262,9,818.559,1259.33,122.893,0.481,-1.475,221.091,9.779,94.014,64,-143,79.666,-9999
Western Brooks North,2005,0.426,8,535.424,172.6,150.579,0.603,-8.342,76.638,0.71,58.832,69,-160,899.294,0.054
Western Brooks South,2004,0.31,17,496.442,180.168,146.005,0.488,-6.613,112.018,4.735,74.87,68,-160,886.867,0.391
Western Brooks South,2005,0.185,38,496.442,0,145.778,0.561,-6.744,96.897,3.704,79.14,68,-160,886.867,0.126
Western Brooks South,2006,0.259,17,496.442,0,152.221,0.506,-8.193,111.141,2.387,62.661,68,-160,886.867,0.188
Western Brooks South,2007,0.265,19,496.442,83.34,144.34,0.501,-6.964,75.153,1.075,59.386,68,-160,886.867,0.202
Western Brooks South,2014,0.036,22,496.442,106.66,153.118,0.554,-5.797,109.05,3.643,74.438,68,-160,886.867,-9999
Western Brooks South,2015,0.365,6,496.442,0,145.255,0.519,-5.454,83.708,5.941,63.938,68,-160,886.867,-9999
